Critical;name;Windows NID 6 (MS/BMP/Dutch (Netherlands));Necessary name table entry according Monotype: 'Windows NID 6, PostScript Name' (MS/BMP/Dutch (Netherlands));PostScript Name NID 6 (MS/BMP/Dutch (Netherlands)) is missing. Please verify agains spec. It might be ok if it's a symbol font.;
Critical;name;MS NID 1;MS NID 1 (False) and/or NID 2 ((3, 1, 1040, 2)) are missing.;NID 1 and/or 2 are missing, but NID 4 (3, 1, 1040, 4). Please add.;
Critical;name;Windows NID 6 (MS/BMP/Norwegian);Necessary name table entry according Monotype: 'Windows NID 6, PostScript Name' (MS/BMP/Norwegian);PostScript Name NID 6 (MS/BMP/Norwegian) is missing. Please verify agains spec. It might be ok if it's a symbol font.;
Critical;name;MS NID 1;MS NID 1 (False) and/or NID 2 ((3, 1, 1036, 2)) are missing.;NID 1 and/or 2 are missing, but NID 4 (3, 1, 1036, 4). Please add.;
Critical;name;Windows NID 5 (MS/BMP/Finnish);Necessary name table entry according Monotype: 'Windows NID 5, Version' (MS/BMP/Finnish);Version NID 5 (MS/BMP/Finnish) is missing. Please verify agains spec. It might be ok if it's a symbol font.;
Critical;name;Windows NID 6 (MS/BMP/Finnish);Necessary name table entry according Monotype: 'Windows NID 6, PostScript Name' (MS/BMP/Finnish);PostScript Name NID 6 (MS/BMP/Finnish) is missing. Please verify agains spec. It might be ok if it's a symbol font.;
Critical;name;Windows NID 1 (MS/BMP/Danish);Necessary name table entry according Monotype: 'Windows NID 1, Family Name' (MS/BMP/Danish);Family Name NID 1 (MS/BMP/Danish) is missing. Please verify agains spec. It might be ok if it's a symbol font.;
Critical;name;MS NID 1;MS NID 1 (False) and/or NID 2 ((3, 1, 1030, 2)) are missing.;NID 1 and/or 2 are missing, but NID 4 (3, 1, 1030, 4). Please add.;
Critical;name;Windows NID 5 (MS/BMP/Swedish);Necessary name table entry according Monotype: 'Windows NID 5, Version' (MS/BMP/Swedish);Version NID 5 (MS/BMP/Swedish) is missing. Please verify agains spec. It might be ok if it's a symbol font.;
Critical;name;MS NID 1;Necessary name table entry according Monotype: NID 1;NID 1 is missing. Please investigate.;
Critical;name;MS NID 1;MS NID 1 (False) and/or NID 2 ((3, 1, 3082, 2)) are missing.;NID 1 and/or 2 are missing, but NID 4 (3, 1, 3082, 4). Please add.;
