Sitka-Small.ttf;critical;name;NID 6 Macintosh;Name table entry should be different in font family;NID '6' is not unique within font family: 'Sitka-60000-1900000'.;
Sitka-Small-Semibold.ttf;critical;name;NID 6 Macintosh;Name table entry should be different in font family;NID '6' is not unique within font family: 'Sitka-60000-2580000'.;
Sitka-Small-Bold.ttf;critical;name;NID 6 Macintosh;Name table entry should be different in font family;NID '6' is not unique within font family: 'Sitka-60000-2bc0000'.;
Sitka-Small-Italic.ttf;critical;name;NID 6 Macintosh;Name table entry should be different in font family;NID '6' is not unique within font family: 'Sitka-60000-1900000'.;
Sitka-Small-Semibold-Italic.ttf;critical;name;NID 6 Macintosh;Name table entry should be different in font family;NID '6' is not unique within font family: 'Sitka-60000-2580000'.;
Sitka-Small-Bold-Italic.ttf;critical;name;NID 6 Macintosh;Name table entry should be different in font family;NID '6' is not unique within font family: 'Sitka-60000-2bc0000'.;
Sitka-Small.ttf;critical;name;NID 6 Windows;Name table entry should be different in font family;NID '6' is not unique within font family: 'Sitka-60000-1900000'.;
Sitka-Small-Semibold.ttf;critical;name;NID 6 Windows;Name table entry should be different in font family;NID '6' is not unique within font family: 'Sitka-60000-2580000'.;
Sitka-Small-Bold.ttf;critical;name;NID 6 Windows;Name table entry should be different in font family;NID '6' is not unique within font family: 'Sitka-60000-2bc0000'.;
Sitka-Small-Italic.ttf;critical;name;NID 6 Windows;Name table entry should be different in font family;NID '6' is not unique within font family: 'Sitka-60000-1900000'.;
Sitka-Small-Semibold-Italic.ttf;critical;name;NID 6 Windows;Name table entry should be different in font family;NID '6' is not unique within font family: 'Sitka-60000-2580000'.;
Sitka-Small-Bold-Italic.ttf;critical;name;NID 6 Windows;Name table entry should be different in font family;NID '6' is not unique within font family: 'Sitka-60000-2bc0000'.;
