File Name;File Format;Vendor ID;Family Name (NID16);Subfamily Name (NID17);Family Name (NID1);Subfamily Name (NID2);Full Name (NID4);PostScript Name (NID6);Version;Copyright;Trademark;Manufacturer;URL Vendor;License Description;URL License;Religious Symbols;WOFF metadata;Critical Errors;Uncritical Errors
NotoSans-ExtraBoldItalic.ttf;ttf;GOOG;Noto Sans;ExtraBold Italic;Noto Sans ExtBd;Italic;Noto Sans ExtraBold Italic;NotoSans-ExtraBoldItalic;Version 2.000,GOOG,noto-source:20170915:90ef993387c0;Copyright 2015 Google Inc. All Rights Reserved.;Noto is a trademark of Google Inc.;Monotype Imaging Inc.;http://www.google.com/get/noto/;This Font Software is licensed under the SIL Open Font License, Version 1.1. This Font Software is distributed on an "AS IS" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied. See the SIL Open Font License for the specific language, permissions and limitations governing your use of this Font Software.;http://scripts.sil.org/OFL;None;None;FontSniffer;53
NotoSans-ThinItalic.ttf;ttf;GOOG;Noto Sans;Thin Italic;Noto Sans Thin;Italic;Noto Sans Thin Italic;NotoSans-ThinItalic;Version 2.000,GOOG,noto-source:20170915:90ef993387c0;Copyright 2015 Google Inc. All Rights Reserved.;Noto is a trademark of Google Inc.;Monotype Imaging Inc.;http://www.google.com/get/noto/;This Font Software is licensed under the SIL Open Font License, Version 1.1. This Font Software is distributed on an "AS IS" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied. See the SIL Open Font License for the specific language, permissions and limitations governing your use of this Font Software.;http://scripts.sil.org/OFL;None;None;FontSniffer;49
NotoSans-SemiBold.ttf;ttf;GOOG;Noto Sans;SemiBold;Noto Sans SemBd;Regular;Noto Sans SemiBold;NotoSans-SemiBold;Version 2.000,GOOG,noto-source:20170915:90ef993387c0;Copyright 2015 Google Inc. All Rights Reserved.;Noto is a trademark of Google Inc.;Monotype Imaging Inc.;http://www.google.com/get/noto/;This Font Software is licensed under the SIL Open Font License, Version 1.1. This Font Software is distributed on an "AS IS" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied. See the SIL Open Font License for the specific language, permissions and limitations governing your use of this Font Software.;http://scripts.sil.org/OFL;None;None;FontSniffer;48
NotoSans-Regular.ttf;ttf;GOOG;None;None;Noto Sans;Regular;Noto Sans Regular;NotoSans-Regular;Version 2.000,GOOG,noto-source:20170915:90ef993387c0;Copyright 2015 Google Inc. All Rights Reserved.;Noto is a trademark of Google Inc.;Monotype Imaging Inc.;http://www.google.com/get/noto/;This Font Software is licensed under the SIL Open Font License, Version 1.1. This Font Software is distributed on an "AS IS" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied. See the SIL Open Font License for the specific language, permissions and limitations governing your use of this Font Software.;http://scripts.sil.org/OFL;None;None;FontSniffer;41
NotoSans-LightItalic.ttf;ttf;GOOG;Noto Sans;Light Italic;Noto Sans Light;Italic;Noto Sans Light Italic;NotoSans-LightItalic;Version 2.000,GOOG,noto-source:20170915:90ef993387c0;Copyright 2015 Google Inc. All Rights Reserved.;Noto is a trademark of Google Inc.;Monotype Imaging Inc.;http://www.google.com/get/noto/;This Font Software is licensed under the SIL Open Font License, Version 1.1. This Font Software is distributed on an "AS IS" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied. See the SIL Open Font License for the specific language, permissions and limitations governing your use of this Font Software.;http://scripts.sil.org/OFL;None;None;FontSniffer;64
NotoSans-MediumItalic.ttf;ttf;GOOG;Noto Sans;Medium Italic;Noto Sans Med;Italic;Noto Sans Medium Italic;NotoSans-MediumItalic;Version 2.000,GOOG,noto-source:20170915:90ef993387c0;Copyright 2015 Google Inc. All Rights Reserved.;Noto is a trademark of Google Inc.;Monotype Imaging Inc.;http://www.google.com/get/noto/;This Font Software is licensed under the SIL Open Font License, Version 1.1. This Font Software is distributed on an "AS IS" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied. See the SIL Open Font License for the specific language, permissions and limitations governing your use of this Font Software.;http://scripts.sil.org/OFL;None;None;FontSniffer;64
NotoSans-BoldItalic.ttf;ttf;GOOG;None;None;Noto Sans;Bold Italic;Noto Sans Bold Italic;NotoSans-BoldItalic;Version 2.000,GOOG,noto-source:20170915:90ef993387c0;Copyright 2015 Google Inc. All Rights Reserved.;Noto is a trademark of Google Inc.;Monotype Imaging Inc.;http://www.google.com/get/noto/;This Font Software is licensed under the SIL Open Font License, Version 1.1. This Font Software is distributed on an "AS IS" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied. See the SIL Open Font License for the specific language, permissions and limitations governing your use of this Font Software.;http://scripts.sil.org/OFL;None;None;FontSniffer;75
NotoSans-BlackItalic.ttf;ttf;GOOG;Noto Sans;Black Italic;Noto Sans Blk;Italic;Noto Sans Black Italic;NotoSans-BlackItalic;Version 2.000,GOOG,noto-source:20170915:90ef993387c0;Copyright 2015 Google Inc. All Rights Reserved.;Noto is a trademark of Google Inc.;Monotype Imaging Inc.;http://www.google.com/get/noto/;This Font Software is licensed under the SIL Open Font License, Version 1.1. This Font Software is distributed on an "AS IS" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied. See the SIL Open Font License for the specific language, permissions and limitations governing your use of this Font Software.;http://scripts.sil.org/OFL;None;None;FontSniffer;65
NotoSans-ExtraLightItalic.ttf;ttf;GOOG;Noto Sans;ExtraLight Italic;Noto Sans ExtLt;Italic;Noto Sans ExtraLight Italic;NotoSans-ExtraLightItalic;Version 2.000,GOOG,noto-source:20170915:90ef993387c0;Copyright 2015 Google Inc. All Rights Reserved.;Noto is a trademark of Google Inc.;Monotype Imaging Inc.;http://www.google.com/get/noto/;This Font Software is licensed under the SIL Open Font License, Version 1.1. This Font Software is distributed on an "AS IS" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied. See the SIL Open Font License for the specific language, permissions and limitations governing your use of this Font Software.;http://scripts.sil.org/OFL;None;None;FontSniffer;59
NotoSans-Medium.ttf;ttf;GOOG;Noto Sans;Medium;Noto Sans Med;Regular;Noto Sans Medium;NotoSans-Medium;Version 2.000,GOOG,noto-source:20170915:90ef993387c0;Copyright 2015 Google Inc. All Rights Reserved.;Noto is a trademark of Google Inc.;Monotype Imaging Inc.;http://www.google.com/get/noto/;This Font Software is licensed under the SIL Open Font License, Version 1.1. This Font Software is distributed on an "AS IS" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied. See the SIL Open Font License for the specific language, permissions and limitations governing your use of this Font Software.;http://scripts.sil.org/OFL;None;None;FontSniffer;32
