Critical;name;Windows NID 5 (MS/Symbol/Dutch (Netherlands));Necessary name table entry according Monotype: 'Windows NID 5, Version' (MS/Symbol/Dutch (Netherlands));Version NID 5 (MS/Symbol/Dutch (Netherlands)) is missing. Please verify agains spec. It might be ok if it's a symbol font.;
Critical;name;Windows NID 1 (MS/Symbol/Norwegian);Necessary name table entry according Monotype: 'Windows NID 1, Family Name' (MS/Symbol/Norwegian);Family Name NID 1 (MS/Symbol/Norwegian) is missing. Please verify agains spec. It might be ok if it's a symbol font.;
Critical;name;Windows NID 6 (MS/Symbol/Spanish (Traditional Sort));Necessary name table entry according Monotype: 'Windows NID 6, PostScript Name' (MS/Symbol/Spanish (Traditional Sort));PostScript Name NID 6 (MS/Symbol/Spanish (Traditional Sort)) is missing. Please verify agains spec. It might be ok if it's a symbol font.;
Critical;name;Windows NID 1 (MS/Symbol/Portuguese (Portugal));Necessary name table entry according Monotype: 'Windows NID 1, Family Name' (MS/Symbol/Portuguese (Portugal));Family Name NID 1 (MS/Symbol/Portuguese (Portugal)) is missing. Please verify agains spec. It might be ok if it's a symbol font.;
Critical;name;Windows NID 6 (MS/Symbol/Norwegian);Necessary name table entry according Monotype: 'Windows NID 6, PostScript Name' (MS/Symbol/Norwegian);PostScript Name NID 6 (MS/Symbol/Norwegian) is missing. Please verify agains spec. It might be ok if it's a symbol font.;
Critical;name;Windows NID 6 (MS/Symbol/French (France));Necessary name table entry according Monotype: 'Windows NID 6, PostScript Name' (MS/Symbol/French (France));PostScript Name NID 6 (MS/Symbol/French (France)) is missing. Please verify agains spec. It might be ok if it's a symbol font.;
Critical;name;Windows NID 4 (MS/Symbol/Slovak);Necessary name table entry according Monotype: 'Windows NID 4, Full Font Name' (MS/Symbol/Slovak);Full Font Name NID 4 (MS/Symbol/Slovak) is missing. Please verify agains spec. It might be ok if it's a symbol font.;
Critical;name;Windows NID 6 (MS/Symbol/Swedish);Necessary name table entry according Monotype: 'Windows NID 6, PostScript Name' (MS/Symbol/Swedish);PostScript Name NID 6 (MS/Symbol/Swedish) is missing. Please verify agains spec. It might be ok if it's a symbol font.;
Critical;name;Windows NID 1 (MS/Symbol/Dutch (Netherlands));Necessary name table entry according Monotype: 'Windows NID 1, Family Name' (MS/Symbol/Dutch (Netherlands));Family Name NID 1 (MS/Symbol/Dutch (Netherlands)) is missing. Please verify agains spec. It might be ok if it's a symbol font.;
Critical;name;Windows NID 5 (MS/Symbol/Slovenian);Necessary name table entry according Monotype: 'Windows NID 5, Version' (MS/Symbol/Slovenian);Version NID 5 (MS/Symbol/Slovenian) is missing. Please verify agains spec. It might be ok if it's a symbol font.;
Critical;name;Windows NID 1 (MS/Symbol/Swedish);Necessary name table entry according Monotype: 'Windows NID 1, Family Name' (MS/Symbol/Swedish);Family Name NID 1 (MS/Symbol/Swedish) is missing. Please verify agains spec. It might be ok if it's a symbol font.;
Critical;name;Windows NID 6 (MS/Symbol/Spanish (Modern Sort));Necessary name table entry according Monotype: 'Windows NID 6, PostScript Name' (MS/Symbol/Spanish (Modern Sort));PostScript Name NID 6 (MS/Symbol/Spanish (Modern Sort)) is missing. Please verify agains spec. It might be ok if it's a symbol font.;
Critical;name;Windows NID 1 (MS/Symbol/Slovenian);Necessary name table entry according Monotype: 'Windows NID 1, Family Name' (MS/Symbol/Slovenian);Family Name NID 1 (MS/Symbol/Slovenian) is missing. Please verify agains spec. It might be ok if it's a symbol font.;
Critical;name;Windows NID 6 (MS/Symbol/Portuguese (Portugal));Necessary name table entry according Monotype: 'Windows NID 6, PostScript Name' (MS/Symbol/Portuguese (Portugal));PostScript Name NID 6 (MS/Symbol/Portuguese (Portugal)) is missing. Please verify agains spec. It might be ok if it's a symbol font.;
Critical;name;Windows NID 6 (MS/Symbol/Slovenian);Necessary name table entry according Monotype: 'Windows NID 6, PostScript Name' (MS/Symbol/Slovenian);PostScript Name NID 6 (MS/Symbol/Slovenian) is missing. Please verify agains spec. It might be ok if it's a symbol font.;
Critical;name;Windows NID 5 (MS/Symbol/Spanish (Traditional Sort));Necessary name table entry according Monotype: 'Windows NID 5, Version' (MS/Symbol/Spanish (Traditional Sort));Version NID 5 (MS/Symbol/Spanish (Traditional Sort)) is missing. Please verify agains spec. It might be ok if it's a symbol font.;
Critical;name;Windows NID 5 (MS/Symbol/Italian (Italy));Necessary name table entry according Monotype: 'Windows NID 5, Version' (MS/Symbol/Italian (Italy));Version NID 5 (MS/Symbol/Italian (Italy)) is missing. Please verify agains spec. It might be ok if it's a symbol font.;
Critical;name;Windows NID 6 (MS/Symbol/Slovak);Necessary name table entry according Monotype: 'Windows NID 6, PostScript Name' (MS/Symbol/Slovak);PostScript Name NID 6 (MS/Symbol/Slovak) is missing. Please verify agains spec. It might be ok if it's a symbol font.;
Critical;name;Windows NID 5 (MS/Symbol/Spanish (Modern Sort));Necessary name table entry according Monotype: 'Windows NID 5, Version' (MS/Symbol/Spanish (Modern Sort));Version NID 5 (MS/Symbol/Spanish (Modern Sort)) is missing. Please verify agains spec. It might be ok if it's a symbol font.;
Critical;OS/2;table version 1.;'OS/2' table version should be 4.;'OS/2' table version is: 1. Verify that this is the version required.;
Critical;name;Windows NID 1 (MS/Symbol/Italian (Italy));Necessary name table entry according Monotype: 'Windows NID 1, Family Name' (MS/Symbol/Italian (Italy));Family Name NID 1 (MS/Symbol/Italian (Italy)) is missing. Please verify agains spec. It might be ok if it's a symbol font.;
