Critical;name;Macintosh NID 6 (Mac/Roman/English);Necessary name table entry according Monotype: 'Macintosh NID 6, PostScript Name' (Mac/Roman/English);PostScript Name NID 6 (Mac/Roman/English) is missing. Please verify agains spec. It might be ok if it's a symbol font.;
Critical;name;Unicode NID 2 (Unicode/1.1 semantics);Necessary name table entry according Monotype: 'Unicode NID 2, Subfamily Name' (Unicode/1.1 semantics);Subfamily Name NID 2 (Unicode/1.1 semantics) is missing. Please verify agains spec. It might be ok if it's a symbol font.;
Critical;name;Macintosh NID 1 (Mac/Roman/English);Necessary name table entry according Monotype: 'Macintosh NID 1, Family Name' (Mac/Roman/English);Family Name NID 1 (Mac/Roman/English) is missing. Please verify agains spec. It might be ok if it's a symbol font.;
Critical;name;Unicode NID 6 (Unicode/1.1 semantics);Necessary name table entry according Monotype: 'Unicode NID 6, PostScript Name' (Unicode/1.1 semantics);PostScript Name NID 6 (Unicode/1.1 semantics) is missing. Please verify agains spec. It might be ok if it's a symbol font.;
Critical;name;Unicode NID 1 (Unicode/1.1 semantics);Necessary name table entry according Monotype: 'Unicode NID 1, Family Name' (Unicode/1.1 semantics);Family Name NID 1 (Unicode/1.1 semantics) is missing. Please verify agains spec. It might be ok if it's a symbol font.;
Critical;name;Macintosh NID 5 (Mac/Roman/English);Necessary name table entry according Monotype: 'Macintosh NID 5, Version' (Mac/Roman/English);Version NID 5 (Mac/Roman/English) is missing. Please verify agains spec. It might be ok if it's a symbol font.;
Critical;name;Unicode NID 4 (Unicode/1.1 semantics);Necessary name table entry according Monotype: 'Unicode NID 4, Full Font Name' (Unicode/1.1 semantics);Full Font Name NID 4 (Unicode/1.1 semantics) is missing. Please verify agains spec. It might be ok if it's a symbol font.;
Critical;name;Macintosh NID 2 (Mac/Roman/English);Necessary name table entry according Monotype: 'Macintosh NID 2, Subfamily Name' (Mac/Roman/English);Subfamily Name NID 2 (Mac/Roman/English) is missing. Please verify agains spec. It might be ok if it's a symbol font.;
Critical;name;Macintosh NID 4 (Mac/Roman/English);Necessary name table entry according Monotype: 'Macintosh NID 4, Full Font Name' (Mac/Roman/English);Full Font Name NID 4 (Mac/Roman/English) is missing. Please verify agains spec. It might be ok if it's a symbol font.;
Critical;name;Unicode NID 5 (Unicode/1.1 semantics);Necessary name table entry according Monotype: 'Unicode NID 5, Version' (Unicode/1.1 semantics);Version NID 5 (Unicode/1.1 semantics) is missing. Please verify agains spec. It might be ok if it's a symbol font.;
