NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Typographic Family Name	Unicode	Unicode 1.1 semantics	Language ID: 1033 - This might be an unusual value for the Unicode platform.	Lemonada	(0, 1, 1033, 16)
Typographic Subfamily Name	Unicode	Unicode 1.1 semantics	Language ID: 1033 - This might be an unusual value for the Unicode platform.	Regular	(0, 1, 1033, 17)
Name ID [256]	Macintosh	Roman	English	Weight	(1, 0, 0, 256)
Name ID [257]	Macintosh	Roman	English	Light	(1, 0, 0, 257)
Name ID [258]	Macintosh	Roman	English	Regular	(1, 0, 0, 258)
Name ID [259]	Macintosh	Roman	English	SemiBold	(1, 0, 0, 259)
Name ID [260]	Macintosh	Roman	English	Bold	(1, 0, 0, 260)
Copyright	Windows	Unicode BMP	English (United States)	Copyright 2011 The Lemonada Project Authors (https://github.com/Gue3bara/Lemonada)	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Lemonada	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	4.004;1KTF;Lemonada-Regular	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Lemonada Regular	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 4.004; ttfautohint (v1.8.2)	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	Lemonada-Regular	(3, 1, 1033, 6)
Manufacturer	Windows	Unicode BMP	English (United States)	Kief Type Foundry	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	Mohamed Gaber (Arabic), Eduardo Tunni (Latin)	(3, 1, 1033, 9)
Vendor URL	Windows	Unicode BMP	English (United States)	http://kieftype.com/	(3, 1, 1033, 11)
Designer URL	Windows	Unicode BMP	English (United States)	http://gaberism.net	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://scripts.sil.org/OFL	(3, 1, 1033, 14)
Name ID [256]	Windows	Unicode BMP	English (United States)	Weight	(3, 1, 1033, 256)
Name ID [257]	Windows	Unicode BMP	English (United States)	Light	(3, 1, 1033, 257)
Name ID [258]	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 258)
Name ID [259]	Windows	Unicode BMP	English (United States)	SemiBold	(3, 1, 1033, 259)
Name ID [260]	Windows	Unicode BMP	English (United States)	Bold	(3, 1, 1033, 260)
